mass,day,ID,cannibal,family,experiment,comment,pupation
0.70475,0,52,0.5,,EGGMASS,,0
0.58239,0,62,0.5,,EGGMASS,,0
0.66838,0,12,0.5,,EGGMASS,,0
0.7109,0,182,0.5,,EGGMASS,,0
0.62077,0,112,0.5,,EGGMASS,,0
0.63701,0,92,0.5,,EGGMASS,,0
0.59059,0,2,0.5,,EGGMASS,,0
0.6501,0,172,0.5,,EGGMASS,,0
0.58673,0,122,0.5,,EGGMASS,,0
0.63085,0,22,0.5,,EGGMASS,,0
0.6468,0,132,0.5,,EGGMASS,,0
0.56612,0,72,0.5,,EGGMASS,,0
0.58828,0,82,0.5,,EGGMASS,,0
0.69561,0,102,0.5,,EGGMASS,,0
0.66396,0,142,0.5,,EGGMASS,,0
0.60833,0,32,0.5,,EGGMASS,,0
0.655,0,192,0.5,,EGGMASS,,0
0.61194,0,152,0.5,,EGGMASS,,0
0.70098,0,42,0.5,,EGGMASS,,0
0.59059,0,6,0.5,,EGGMASS,,0
0.66838,0,16,0.5,,EGGMASS,,0
0.63085,0,26,0.5,,EGGMASS,,0
0.60833,0,40,0.5,,EGGMASS,,0
0.70098,0,44,0.5,,EGGMASS,,0
0.70475,0,58,0.5,,EGGMASS,,0
0.58239,0,70,0.5,,EGGMASS,,0
0.56612,0,74,0.5,,EGGMASS,,0
0.58828,0,90,0.5,,EGGMASS,,0
0.63701,0,96,0.5,,EGGMASS,,0
0.88,1,1,1,1,day1-after cann,,0
1.02,1,2,1,1,day1-after cann,,0
0.91,1,3,1,1,day1-after cann,,0
0.8,1,4,1,1,day1-after cann,,0
0.77,1,5,1,1,day1-after cann,,0
0.89,1,6,1,1,day1-after cann,,0
1.1,1,7,1,1,day1-after cann,,0
1.38,1,8,1,1,day1-after cann,,0
1.01,1,9,0,1,day1-after cann,,0
0.98,1,10,0,1,day1-after cann,,0
0.75,1,11,0,1,day1-after cann,,0
0.83,1,12,0,1,day1-after cann,,0
0.77,1,13,0,1,day1-after cann,,0
1.09,1,14,0,1,day1-after cann,,0
0.8,1,15,0,1,day1-after cann,,0
0.75,1,16,0,1,day1-after cann,,0
1.59,1,17,1,2,day1-after cann,,0
1.46,1,18,1,2,day1-after cann,,0
1.15,1,19,1,2,day1-after cann,,0
1.39,1,20,1,2,day1-after cann,,0
1.14,1,21,1,2,day1-after cann,,0
1.64,1,22,1,2,day1-after cann,,0
0.94,1,23,1,2,day1-after cann,,0
0.8,1,24,1,2,day1-after cann,,0
1.4,1,25,0,2,day1-after cann,,0
1.26,1,26,0,2,day1-after cann,,0
1.34,1,27,0,2,day1-after cann,,0
1.35,1,28,0,2,day1-after cann,,0
1.41,1,29,0,2,day1-after cann,,0
1.17,1,30,0,2,day1-after cann,,0
